R E Line Trucking,51.712864,-109.241555,,,
Empress Gas Plant, Area 1,50.679201,-110.027211,,,Sports & Recreation
Plains , Empress Gas Plant,50.676754928587,-110.02723899175,,,Sports & Recreation
7-Eleven,51.47429330639,-109.15571342255,S0L 1S0,301 11th Ave East,Association & Orginization Shopping Resturant
Eston College,51.270540310647,-110.03918278366,,,
Empress, AB,50.954817167213,-110.01180246049,,,Transportation
East Side Cafe,51.47428567681,-109.14609866649,,,Resturant
The Evergreens,51.469844852672,-109.16655902741,,818 2nd Street West,Accomodation
Eatonia,51.241682705348,-109.36127081263,,,Transportation
Eatonia Family Restaurant,51.2164756,-109.396397,,,Resturant
Elks Hall,51.473184068773,-109.1695586999,,,Arts & Entertainment
Endeavor Chartered Accountant,51.354011,-110.483891,T0J 1P0,302 2 AVE W,Financial Association & Orginization
Extra Foods Gas Bar,51.474684105634,-109.14724214863,,12th Ave,Transportaion Shopping Resturant
Energy Dodge Ltd.,51.4741594,-109.1569466,S0L 1S0,209 11th Avenue,Box 1357,Shopping
Eaton School,51.22505,-109.38763,,4th Ave E,
Estuary Ferry,50.939510898454,-109.80640264329,,,Transportation
Esso,51.474375,-109.160679,S0L 1S0,119-121 11 Ave E,Transportaion Shopping Resturant
Educaturk,51.179344,-111.09375,,,Arts & Entertainment
Cows Everywhere,51.478522475489,-111.01428803979,,,Parks
Suburban Extended Stay Hotel,51.475864665409,-109.14359612743,S0L 1S0,700 12 Ave E,Accomodation
Propak Energy Services,51.475684172848,-109.15464745755,,Bay 3, 1319 11th. Ave West,Association & Orginization
Absolutely Eyes (Dr Hagens & Dr Pratt),51.466484,-109.153226,S0L 1S0,113 Main St,Healthcare
West Central Events Centre,51.470858359092,-109.15162289545,,,Arts & Entertainment
Teine Energy,51.47429,-109.188582,,,Shopping
Absolutely Eyes,51.466401894067,-109.15358812874,,113 Main St,Healthcare
Ferus Empress,50.684886097545,-110.0289773941,,Range Road 11,Accomodation
Leader Esso,50.887298038629,-109.54372843953,,,Transportaion Shopping Resturant
Oyen Shop Easy,51.354466892126,-110.48253808108,,,Shopping
Murlin Electronics,51.474486978686,-109.14238929749,S0L 1S0,705J 11th ave East,Shopping
NAPA Auto Parts - Sebo Enterprises Ltd,51.4755434,-109.1634322,S0L 1S0,112 12 AVE E,Transportation
Rocky Mountain Equipment,51.475291,-109.178554,S0L 1S0,204 12th Ave,Parks
Luk Plumbing, Heating & Electric,51.469745,-109.157948,S0L 1S0,609 Main Street,Association & Orginization
West Central Events Centre,51.474288691346,-109.1453596369,,,Arts & Entertainment
That's Empressive,50.9563,-110.008,T0J 1E0,302 Center Street,Arts & Entertainment
Rocky Mountain Equipment,51.354261,-110.484082,T0J 2J0,216 Main St,Parks
Half Diamond R Electric,50.890335,-109.536624,S0N 1H0,505 Hwy 21,Association & Orginization
Aspire Lounge (E Gates  Transborder),51.129787994154,-114.00396823883,T2E,,Arts & Entertainment
Concourse E Security,51.130548998416,-114.00412412689,,,Transportation
Chuck E. Cheese's,51.076091,-113.98752,T1Y 7L8,2612 32 Street Northeast,Arts & Entertainment
Food Court - Concourse E,51.130021,-114.003981,,,Resturant
E. B. Peerless Ltd.,51.0941776862,-114.03979753958,T2E 6K3,4506 10 St. NE,Association & Orginization
J&E Paving Limited,51.1100807,-113.9319687,T3J 3P6,187 Coral Springs Cir NE,Association & Orginization
E Mart,51.038380658712,-114.13970698883,,3715 51st St SW,Shopping
Eau Claire Market Playground,51.052604143865,-114.06847000122,,Eau Claire Market,Arts & Entertainment Park
Concourse E,51.129843663282,-114.00380724667,,,Transportaion
16th Ave E,51.066841610993,-114.07725638927,,,Transportation
Gate E94,51.13063,-113.998309,T2E 6W5,,Transportation
C.A.R.E Centre Animal Hospital,50.991192176845,-114.03727161285,T2H 2Y4,7140 12 Street SE,Healthcare
Panorama Hills E-Community Centre,51.160121055222,-114.07694820527,,88 Panamount Hill NW,Arts & Entertainment
B&E Electronics,51.011037562367,-114.05363813277,T2G 4C4,444 Manitou Road SE,Shopping
East Coulee,51.342254716748,-112.4812740092,,,Public Service
Gate E92,51.128841,-113.999814,,,Transportation
A E S Industrial Supplies Ltd,52.309544,-113.813977,T4P 3S7,7840A 50 Ave,Shopping
E&W,51.706344672771,-113.25791024132,,,Resturant
E Salon,51.129608,-114.177264,,,Association & Orginization
E. Sports,51.091376,-114.050169,,,
E-projects,51.000527,-114.057662,,,Association & Orginization
E-Mortal Customs,51.030048672785,-114.03019833167,,,Arts & Entertainment
A E Security,50.979284,-113.968488,T2C 2R9,19-4511 Glenmore Trail SE,Association & Orginization
E Salons Ltd,51.130034,-114.177727,T3G 3K2,31-555 Hawkwood Blvd NW,Association & Orginization
A & E Hearing Centre,52.271697996886,-113.80929243039,T4N 4C9,#4, 6715 50 Avenue,Healthcare
E&C BREWING,50.90920299288,-113.94416570663,T2Z 4C6,616 COPPERFIELD BLVD SE,Shopping Association & Orginization
E S G Child Playcare Centre,51.16647197915,-114.05963599072,,,Arts & Entertainment Park
A E S Industrial Supplies Ltd,52.309544,-113.813977,T4P 3S7,7840A 50 Ave,Shopping
E C S Safety Services,51.054454,-113.993974,T2A 7P3,1-2821 3 Ave NE,Association & Orginization
E T Auto,51.0884504,-114.051712,T2E 3P6,4014 Edmonton Trail NE,Transportation
e children,50.98987,-114.069418,,130 71Ave SE,Shopping
E-Patrol. Canada,51.066896,-114.063008,,,
Edward Jones - Financial Advisor: Michael E Baker,51.12955,-114.17755,T3G 3K2,555 Hawkwood Blvd NW, Unit 71,Financial Association & Orginization
E Children Ltd,51.1579151,-114.1621716,T3R 0A1,11610 Sarcee Trail NW,Shopping
E-waste,51.014509062194,-114.12691457631,,,Public Service
E-Cigarette @ Crossroads,51.030287511354,-114.0350812443,,,Shopping
E. Roko Distributors Ltd,51.090459,-114.032191,,,Shopping
E Backup,51.093271,-114.014579,T2e7j7,35 McTavish Pl NE,Association & Orginization
Brent E. Hemington PC,51.045967358507,-114.07177448273,T2P 1G2,#510, 505 8 ave SW,Financial Association & Orginization
T H E Service Department,51.085369441809,-114.0110707283,T2E 6V2,3850 19 Street NE Bay 3,Shopping
